year,county,avg_price,median_price,num_sales
2021,Cork,266752.0,240000.0,791
2021,Donegal,136608.0,111250.0,224
2021,Dublin,449655.0,361233.0,2139
2021,Galway,259370.0,240000.0,374
2021,Kerry,192907.0,179000.0,195
2021,Kildare,335816.0,290749.0,330
2021,Kilkenny,222562.0,210000.0,99
2021,Laois,241683.0,190500.0,152
2021,Leitrim,116365.0,99500.0,60
2021,Limerick,200192.0,175000.0,273
2021,Longford,147358.0,100500.0,97
2021,Louth,241519.0,209000.0,169
2021,Mayo,164738.0,144000.0,175
2021,Meath,300155.0,273128.0,325
2021,Monaghan,136224.0,101322.0,73
2021,Offaly,188694.0,169500.0,95
2021,Roscommon,133251.0,115000.0,120
2021,Sligo,167492.0,142616.0,116
2021,Tipperary,179647.0,172000.0,181
2021,Waterford,195132.0,176166.0,188
2021,Westmeath,204515.0,194000.0,123
2021,Wexford,211763.0,199500.0,282
2021,Wicklow,422381.0,371859.0,290
